vot_parCodigo,parDenominacion
0005,Partido Demócrata Cristiano                  
0014,Partido Obrero                               
0022,Partido Humanista                            
0038,Movimiento Socialista de los Trabajadores    
0045,de los Trabajadores Socialista               
0048,Recrear para el Crecimiento                  
0050,Partido Socialista                           
0060,Movimiento Independiente de Jubilados y Desoc
0131,Alianza Concertación UNA                     
0134,Alianza Frente para la Victoria              
0193,Partido Defensa Provincial Bandera Blanca    
0194,Partido Acción Provinciana                   
0195,Partido Voluntad Objetiva para Servir        
0196,Alianza Coalición Cívica por la Resistencia  
