"","vot_parCodigo","parDenominacion"
"1","0060","MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD                                                        "
"2","0064","PRO PROPUESTA REPUBLICANA                                                                           "
"3","0181","FUERZA REPUBLICANA                                                                                  "
"4","0185","VOS CAMBIO Y ACCION                                                                                 "
"5","0186","LABORISTA DE LA INDEPENDENCIA                                                                       "
"6","0188","CAMBIO POPULAR TUCUMANO                                                                             "
"7","0501","FRENTE PARA LA VICTORIA                                                                             "
"8","0505","FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                           "
"9","0542","ALTERNATIVA POPULAR                                                                                 "
"10","0543","FRENTE ACUERDO CIVICO Y SOCIAL                                                                      "
