vot_parCodigo,parDenominacion
0003,UNION CIVICA RADICAL                                                                                
0060,MVTO INDEPENDIENTE DE JUBILADOS Y DESOCUPADOS                                                       
0136,ALIANZA PROYECTO SUR                                                                                
0185,CAMBIO POPULAR TUCUMANO                                                                             
0190,MOVIMIENTO DE PARTICIPACION CIUDADANA                                                               
0192,FUERZA REPUBLICANA                                                                                  
0194,VOS CAMBIO Y ACCION                                                                                 
0501,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0510,FRENTE AMPLIO PROGRESISTA                                                                           
0517,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
