codprov,depto,coddepto,circuito,mesa,validos,electores,blancos,nulos,fpv,cmb,fit,mpc
23,Capital,001,0001 ,0001,258,334,34,2,23,156,23,22
23,Capital,001,0001 ,0002,268,335,27,0,29,173,14,25
23,Capital,001,0001 ,0003,277,334,31,0,34,185,12,15
23,Capital,001,0001 ,0004,240,334,0,0,28,175,18,19
23,Capital,001,0001 ,0005,263,336,27,2,25,174,25,12
23,Capital,001,0001 ,0006,248,334,17,0,23,166,16,26
23,Capital,001,0001 ,0007,269,334,25,0,35,176,16,17
23,Capital,001,0001 ,0008,267,336,28,1,36,173,19,11
23,Capital,001,0001 ,0009,259,334,17,3,39,170,20,13
23,Capital,001,0001 ,0010,257,333,30,0,31,166,11,19
23,Capital,001,0001 ,0011,263,336,32,1,42,157,19,13
23,Capital,001,0001 ,0012,248,333,19,1,34,160,14,21
23,Capital,001,0001 ,0013,253,334,22,0,43,156,15,17
23,Capital,001,0001 ,0014,267,334,30,2,27,177,16,17
23,Capital,001,0001 ,0015,257,334,14,0,41,174,14,14
23,Capital,001,0001 ,0016,262,334,34,1,34,151,19,24
23,Capital,001,0001 ,0017,247,334,18,15,25,171,15,18
23,Capital,001,0001 ,0018,251,334,29,1,28,150,20,24
23,Capital,001,0001 ,0019,257,335,21,2,23,179,18,16
23,Capital,001,0001A,0020,277,349,25,2,39,168,21,24
23,Capital,001,0001A,0021,274,348,26,2,40,170,17,21
23,Capital,001,0001A,0022,274,350,30,1,31,160,22,31
23,Capital,001,0001A,0023,272,349,54,0,43,164,11,0
23,Capital,001,0001A,0024,289,350,32,1,42,185,13,17
23,Capital,001,0001A,0025,275,351,22,0,32,183,16,22
23,Capital,001,0001A,0026,271,350,21,0,37,176,15,22
23,Capital,001,0001A,0027,267,351,33,1,27,171,13,23
23,Capital,001,0001A,0028,274,346,22,1,36,193,12,11
23,Capital,001,0001A,0029,252,350,3,34,40,166,20,23
23,Capital,001,0001A,0030,277,349,29,1,25,189,13,21
23,Capital,001,0001A,0031,275,354,34,1,28,177,12,24
23,Capital,001,0001A,0032,253,350,33,1,28,157,16,19
23,Capital,001,0001A,0033,271,350,34,2,39,152,25,21
23,Capital,001,0001A,0034,272,347,28,1,37,171,10,26
23,Capital,001,0002 ,0035,274,347,38,1,30,169,16,21
23,Capital,001,0002 ,0036,264,346,33,3,39,149,21,22
23,Capital,001,0002 ,0037,258,348,32,3,25,163,15,23
23,Capital,001,0002 ,0038,265,346,29,5,38,156,22,20
23,Capital,001,0002 ,0039,257,352,32,4,45,140,18,22
23,Capital,001,0002 ,0040,256,346,34,3,32,160,12,18
23,Capital,001,0002 ,0041,262,347,28,5,43,162,8,21
23,Capital,001,0002 ,0042,249,345,27,2,37,164,21,0
23,Capital,001,0002 ,0043,269,351,34,0,33,161,12,29
23,Capital,001,0002 ,0044,266,345,30,4,38,162,18,18
23,Capital,001,0002 ,0045,256,350,32,0,35,152,14,23
23,Capital,001,0002A,0046,251,325,36,1,37,136,22,20
23,Capital,001,0002A,0047,247,326,27,0,31,149,17,23
23,Capital,001,0002A,0048,253,330,33,1,21,149,18,32
23,Capital,001,0002A,0049,265,326,31,1,47,146,18,23
23,Capital,001,0002A,0050,249,327,27,0,41,145,19,17
23,Capital,001,0002A,0051,253,325,31,1,33,151,24,14
23,Capital,001,0002A,0052,260,326,23,1,32,172,14,19
23,Capital,001,0002A,0053,249,326,42,2,32,155,17,3
23,Capital,001,0002A,0054,260,325,24,1,42,151,28,15
23,Capital,001,0002A,0055,252,325,30,0,26,158,19,19
23,Capital,001,0002A,0056,263,324,28,3,29,165,22,19
23,Capital,001,0002A,0057,252,326,30,4,41,139,19,23
23,Capital,001,0002A,0058,252,327,30,0,32,162,13,15
23,Capital,001,0003 ,0059,290,354,34,2,50,161,17,28
23,Capital,001,0003 ,0060,289,349,31,3,50,167,20,21
23,Capital,001,0003 ,0061,286,349,31,0,45,165,22,23
23,Capital,001,0003 ,0062,266,350,15,0,32,177,17,25
23,Capital,001,0003 ,0063,262,349,29,1,38,154,23,18
23,Capital,001,0003 ,0064,275,349,28,2,37,174,20,16
23,Capital,001,0003 ,0065,291,346,33,1,48,174,14,22
23,Capital,001,0003 ,0066,271,348,40,1,33,156,19,23
23,Capital,001,0003 ,0067,280,350,23,1,47,173,19,18
23,Capital,001,0003 ,0068,267,348,30,0,42,150,17,28
23,Capital,001,0003 ,0069,278,346,45,0,32,171,15,15
23,Capital,001,0003 ,0070,289,348,34,2,36,170,28,21
23,Capital,001,0003 ,0071,278,349,38,1,26,174,12,28
23,Capital,001,0003 ,0072,276,347,31,1,35,158,21,31
23,Capital,001,0003 ,0073,276,347,18,0,40,168,20,30
23,Capital,001,0003 ,0074,264,350,29,1,39,158,17,21
23,Capital,001,0003 ,0075,286,347,40,1,48,148,27,23
23,Capital,001,0003 ,0076,276,349,39,0,35,166,20,16
23,Capital,001,0003 ,0077,286,349,27,0,45,166,24,24
23,Capital,001,0003 ,0078,275,348,30,0,42,166,19,18
23,Capital,001,0004 ,0079,273,347,35,2,38,161,18,21
23,Capital,001,0004 ,0080,273,352,47,1,41,128,28,29
23,Capital,001,0004 ,0081,284,348,36,3,51,158,21,18
23,Capital,001,0004 ,0082,285,349,36,1,38,177,10,24
23,Capital,001,0004 ,0083,284,348,42,1,49,149,21,23
23,Capital,001,0004 ,0084,272,350,24,0,39,154,30,25
23,Capital,001,0004 ,0085,278,350,24,0,46,153,33,22
23,Capital,001,0004 ,0086,290,350,42,1,31,180,18,19
23,Capital,001,0004 ,0087,274,348,33,1,38,146,27,30
23,Capital,001,0004 ,0088,278,349,32,2,46,166,13,21
23,Capital,001,0004 ,0089,284,348,37,0,38,153,29,27
23,Capital,001,0004 ,0090,280,349,44,1,37,160,15,24
23,Capital,001,0004 ,0091,284,351,41,2,45,149,21,28
23,Capital,001,0004 ,0092,279,350,32,0,36,165,21,25
23,Capital,001,0004 ,0093,267,349,33,2,35,157,17,25
23,Capital,001,0004 ,0094,287,349,36,1,55,157,18,21
23,Capital,001,0004 ,0095,284,348,26,1,39,174,18,27
23,Capital,001,0004 ,0096,280,348,34,0,46,151,19,30
23,Capital,001,0005 ,0097,250,346,0,1,39,183,11,17
23,Capital,001,0005 ,0098,282,345,36,0,26,190,13,17
23,Capital,001,0005 ,0099,257,345,0,0,34,194,16,13
23,Capital,001,0005 ,0100,272,345,24,1,27,201,11,9
23,Capital,001,0005 ,0101,293,345,17,0,30,214,15,17
23,Capital,001,0005 ,0102,274,346,23,1,25,198,13,15
23,Capital,001,0005 ,0103,275,344,20,2,18,210,15,12
23,Capital,001,0005 ,0104,274,344,27,2,20,198,11,18
23,Capital,001,0005 ,0105,273,346,29,0,17,202,13,12
23,Capital,001,0005 ,0106,276,344,28,0,23,199,19,7
23,Capital,001,0005 ,0107,296,346,30,1,35,203,14,14
23,Capital,001,0005 ,0108,285,346,21,0,24,210,15,15
23,Capital,001,0005 ,0109,277,347,31,1,27,184,14,21
23,Capital,001,0005 ,0110,277,347,22,1,18,206,19,12
23,Capital,001,0005 ,0111,266,344,22,0,30,186,16,12
23,Capital,001,0005 ,0112,273,343,26,2,30,193,14,10
23,Capital,001,0005 ,0113,279,345,20,0,26,203,15,15
23,Capital,001,0005 ,0114,283,345,20,1,23,212,10,18
23,Capital,001,0005 ,0115,277,344,24,1,31,209,7,6
23,Capital,001,0005 ,0116,237,348,0,0,18,195,10,14
23,Capital,001,0005 ,0117,270,343,18,0,28,189,17,18
23,Capital,001,0005 ,0118,273,343,46,4,24,190,9,4
23,Capital,001,0005 ,0119,275,346,21,1,21,210,9,14
23,Capital,001,0005 ,0120,291,344,33,2,28,193,18,19
23,Capital,001,0005 ,0121,271,343,26,0,32,179,14,20
23,Capital,001,0005 ,0122,282,344,30,0,19,210,16,7
23,Capital,001,0005 ,0123,259,345,6,0,32,198,12,11
23,Capital,001,0005 ,0124,284,345,37,1,33,191,8,15
23,Capital,001,0005 ,0125,272,342,23,0,19,200,18,12
23,Capital,001,0005 ,0126,280,349,14,0,24,203,15,24
23,Capital,001,0005 ,0127,257,347,24,0,24,176,13,20
23,Capital,001,0006 ,0128,266,340,25,2,37,170,20,14
23,Capital,001,0006 ,0129,264,339,23,0,35,175,16,15
23,Capital,001,0006 ,0130,284,340,31,1,37,168,11,37
23,Capital,001,0006 ,0131,280,339,53,0,30,157,19,21
23,Capital,001,0006 ,0132,256,338,13,0,49,142,20,32
23,Capital,001,0006 ,0133,263,337,35,1,34,164,9,21
23,Capital,001,0006 ,0134,281,339,15,1,27,195,21,23
23,Capital,001,0006 ,0135,266,339,42,0,37,164,8,15
23,Capital,001,0006 ,0136,254,338,27,2,29,168,13,17
23,Capital,001,0006 ,0137,257,336,6,2,42,194,15,0
23,Capital,001,0006 ,0138,285,338,43,0,33,179,11,19
23,Capital,001,0006 ,0139,265,338,32,0,34,150,23,26
23,Capital,001,0006 ,0140,261,338,22,1,29,172,18,20
23,Capital,001,0006 ,0141,265,338,31,0,25,178,13,18
23,Capital,001,0007 ,0142,272,348,51,1,35,129,24,33
23,Capital,001,0007 ,0143,248,348,2,5,45,153,11,37
23,Capital,001,0007 ,0144,285,347,53,0,47,142,14,29
23,Capital,001,0007 ,0145,268,346,49,1,44,134,17,24
23,Capital,001,0007 ,0146,264,345,39,6,51,147,12,15
23,Capital,001,0007 ,0147,260,345,30,1,55,125,17,33
23,Capital,001,0007 ,0148,266,346,49,4,49,132,15,21
23,Capital,001,0007 ,0149,284,350,66,0,51,145,8,14
